main profile,friend profile,fbfm.stats.properties.PropertyUserTaggedFriendInPost,fbfm.stats.properties.PropertyUserLikesFriendPosts,fbfm.stats.properties.PropertyFriendTaggedUserInPost,fbfm.stats.properties.PropertyMeTaggedFriendPhoto,fbfm.stats.properties.PropertyUserSharedFriendPost,fbfm.stats.properties.PropertyFriendTaggedMePhoto,fbfm.stats.properties.PropertyFriendLikedMyPosts,fbfm.stats.properties.PropertyFriendCommentedMyPosts,fbfm.stats.properties.PropertyUserCommentedFriendPosts,fbfm.stats.properties.PropertyPrivateMessages
786753874,601209151,0,1,0,0,0,0,0,0,0,0
786753874,602184134,0,0,0,0,0,0,0,0,0,2
786753874,602915992,0,0,0,0,0,0,0,0,0,0
786753874,607270745,0,0,0,0,0,0,1,0,0,0
786753874,611174509,0,0,0,0,0,0,0,0,0,0
786753874,612003056,0,2,0,0,0,0,3,0,0,0
786753874,612083430,0,0,0,0,0,0,0,0,0,4
786753874,613311992,0,1,0,0,0,1,4,6,0,0
786753874,613899486,0,0,0,0,0,0,0,0,0,0
786753874,616232664,0,8,0,0,0,0,8,1,0,0
786753874,618896304,0,0,0,0,0,0,0,0,0,0
786753874,620620964,0,0,0,0,0,0,3,0,0,0
786753874,621445433,0,0,0,0,0,0,0,0,0,0
786753874,623124526,0,0,0,0,0,0,0,0,0,0
786753874,625103781,0,0,0,0,0,0,7,1,0,0
786753874,625393786,0,0,0,0,0,0,0,0,0,0
786753874,630773816,0,1,0,0,0,0,1,0,0,0
786753874,631094286,0,0,0,0,0,0,1,1,0,0
786753874,632052274,0,0,0,0,0,0,0,0,0,0
786753874,633233445,0,0,0,0,0,1,3,1,0,0
786753874,635769010,0,3,0,0,0,0,1,0,0,0
786753874,636283591,0,0,0,0,0,0,0,0,0,0
786753874,636608559,0,0,0,0,0,0,0,0,0,0
786753874,637132326,0,0,0,0,0,0,0,0,0,0
786753874,640276585,0,0,0,0,0,0,4,0,0,0
786753874,640518058,0,1,0,0,0,0,0,0,0,0
786753874,641372693,0,0,0,0,0,0,0,0,0,0
786753874,642159005,0,0,0,0,0,0,0,0,0,0
786753874,645924075,0,0,0,0,0,0,0,0,0,0
786753874,648442149,0,0,0,0,0,0,0,0,0,0
786753874,653339802,0,0,0,0,0,0,5,0,0,0
786753874,658083008,0,0,0,0,0,0,4,0,0,0
786753874,659368188,0,0,0,0,0,0,0,0,0,0
786753874,660753184,0,0,0,0,0,0,4,5,1,0
786753874,661721930,0,0,0,0,0,0,0,0,0,0
786753874,662799960,0,0,0,0,0,0,0,0,0,0
786753874,664905797,0,0,0,0,0,0,0,0,0,0
786753874,667859533,0,7,0,0,0,1,35,0,0,0
786753874,672486157,0,2,0,0,0,0,0,0,0,0
786753874,672627969,0,0,0,0,0,0,0,0,0,0
