main profile,friend profile,fbfm.stats.properties.PropertyUserTaggedFriendInPost,fbfm.stats.properties.PropertyUserLikesFriendPosts,fbfm.stats.properties.PropertyFriendTaggedUserInPost,fbfm.stats.properties.PropertyMeTaggedFriendPhoto,fbfm.stats.properties.PropertyUserSharedFriendPost,fbfm.stats.properties.PropertyFriendTaggedMePhoto,fbfm.stats.properties.PropertyPrivateMessages,fbfm.stats.properties.PropertyFriendLikedMyPosts,fbfm.stats.properties.PropertyUserCommentedFriendPosts,fbfm.stats.properties.PropertyFriendCommentedMyPosts
786753874,759132249,0,0,0,0,0,0,0,0,0,0
786753874,761355628,0,0,0,0,0,0,0,10,1,4
786753874,763276737,0,0,0,0,0,0,0,0,0,3
786753874,764677592,0,0,0,0,0,0,0,0,0,1
786753874,767979624,0,0,0,0,0,0,0,0,0,0
786753874,768867280,0,0,0,0,0,0,0,0,0,0
786753874,770363904,0,2,0,0,0,0,0,0,0,0
786753874,770530512,0,4,0,0,0,0,0,2,0,0
786753874,776569754,0,0,0,0,0,0,0,2,0,0
786753874,778039405,0,0,0,0,0,1,0,2,0,1
786753874,778639065,0,0,0,0,0,0,0,0,0,0
786753874,780684678,0,0,0,0,0,0,0,1,0,1
786753874,781890373,0,1,0,0,0,0,0,0,0,0
786753874,782663849,0,0,0,0,0,0,0,0,0,0
786753874,785228093,0,9,0,0,0,1,81,3,1,1
786753874,787164938,0,0,0,0,0,0,0,1,0,0
786753874,787601131,0,0,0,0,0,0,0,1,0,1
786753874,789771529,0,3,0,0,0,0,0,0,0,0
786753874,789984813,0,0,0,0,0,0,0,1,0,3
786753874,795204203,2,2,0,0,0,0,0,7,0,1
786753874,795662627,0,0,0,0,0,0,0,0,0,0
786753874,805959360,0,0,0,0,0,0,5,0,0,0
786753874,807717903,0,0,0,0,0,0,0,25,0,1
786753874,808599938,0,0,0,0,0,0,0,2,0,0
786753874,809340110,3,1,2,0,0,22,0,3,0,4
786753874,815200768,0,0,0,0,0,0,0,0,0,1
786753874,815617409,0,2,0,0,0,1,0,0,0,4
786753874,815843047,0,0,0,0,0,0,0,0,0,0
786753874,815877346,0,0,0,0,0,0,0,0,0,0
786753874,817088430,0,0,0,0,0,0,0,0,0,0
786753874,817302975,0,0,0,0,0,0,0,1,0,0
786753874,817364113,0,7,0,0,0,0,0,1,1,0
786753874,817702732,0,0,0,0,0,0,0,1,0,0
786753874,817724180,0,0,0,0,0,0,0,0,0,0
786753874,818017467,0,0,0,0,0,0,0,0,0,0
786753874,820019077,0,3,0,0,0,0,0,1,9,0
786753874,820625857,0,0,0,0,0,0,0,0,0,0
786753874,821884872,0,12,1,0,0,0,0,14,0,0
786753874,822748598,0,0,0,0,0,0,0,0,2,0
786753874,824138839,0,0,0,0,0,1,0,0,0,0
