main profile,friend profile,fbfm.stats.features.FeatureMutualFriends,fbfm.stats.features.FeaturePhotoTags,fbfm.stats.features.FeatureCommonPlaces,fbfm.stats.features.FeatureCommonLikeRatio,fbfm.stats.features.FeatureCommonEducationWork,fbfm.stats.features.FeatureCommonGroups
786753874,721872113,154,1,0,0.058441557,0,5
786753874,723874468,14,0,0,0.0,0,1
786753874,727873680,198,0,0,0.0,0,48
786753874,730012321,5,0,0,0.0,0,0
786753874,734450400,4,0,0,0.018072288,0,5
786753874,735364706,180,0,0,0.032432433,0,17
786753874,738102199,1,0,0,0.0,1,0
786753874,738759187,145,0,0,0.08,0,13
786753874,742289669,9,0,0,0.0,0,0
786753874,744844279,10,0,0,0.0,0,0
786753874,746863954,7,0,0,0.013636364,1,8
786753874,747650255,192,1,0,0.006756757,1,14
786753874,749953892,13,0,0,0.015544041,0,7
786753874,751251357,14,0,0,0.0,0,0
786753874,753213323,9,4,0,0.0015673981,0,0
786753874,753997975,5,0,0,0.011278195,1,14
786753874,755046048,27,1,0,0.0,0,0
786753874,755183463,81,0,0,0.0,0,0
786753874,755982337,180,0,0,0.0,0,0
786753874,757059718,55,0,0,0.020833334,0,5
786753874,759132249,36,0,0,0.014084507,0,1
786753874,761355628,15,1,0,0.007832898,1,0
786753874,763276737,16,0,0,0.0,1,0
786753874,764677592,23,0,0,0.006134969,1,0
786753874,767979624,47,0,0,0.020725388,0,8
786753874,768867280,151,0,0,0.08450704,0,5
786753874,770363904,5,0,0,0.004454343,0,8
786753874,770530512,124,1,0,0.02962963,0,12
786753874,776569754,250,0,0,0.0,0,15
786753874,778039405,5,1,0,0.0,0,2
786753874,778639065,2,0,0,0.0,0,0
786753874,780684678,1,0,0,0.0066225166,0,4
786753874,781890373,24,0,0,0.008264462,0,1
786753874,782663849,49,1,0,0.013888889,1,8
786753874,785228093,9,0,0,0.009259259,0,0
786753874,787164938,201,0,0,0.023961661,0,51
786753874,787601131,14,1,0,0.017699115,1,1
786753874,789771529,79,0,0,0.07486631,0,23
786753874,789984813,17,0,0,0.012048192,0,2
786753874,795204203,4,1,2,0.0,0,0
786753874,795662627,30,0,0,0.008196721,1,0
786753874,805959360,56,0,0,0.0,0,0
786753874,807717903,29,0,0,0.011764706,0,0
786753874,808599938,86,0,0,0.0,0,32
786753874,809340110,14,5,0,0.00729927,0,3
786753874,815200768,54,0,0,0.011049724,0,4
786753874,815617409,64,0,0,0.012820513,0,6
786753874,815843047,33,0,0,0.0,0,0
786753874,815877346,188,1,0,0.0,0,16
786753874,817088430,93,0,0,0.03305785,0,15
786753874,817302975,188,0,0,0.057017542,0,45
786753874,817364113,6,0,0,0.010204081,0,2
786753874,817702732,7,0,0,0.0,0,1
786753874,817724180,2,0,0,0.0,0,0
786753874,818017467,177,0,0,0.021077283,0,18
786753874,820019077,46,2,0,0.008888889,1,1
786753874,820625857,202,0,0,0.0,0,19
786753874,821884872,154,0,0,0.035714287,0,16
786753874,822748598,44,0,0,0.0,0,1
786753874,824138839,41,1,0,0.010714286,0,0
786753874,825192009,180,0,0,0.044585988,0,0
786753874,825432795,51,0,0,0.0,1,2
786753874,825964297,11,1,0,0.002793296,1,5
786753874,826803356,6,0,0,0.006666667,0,2
786753874,828643655,52,0,0,0.041322313,0,6
786753874,828699030,42,0,0,0.030303031,0,8
786753874,837717953,0,0,0,0.003960396,0,1
786753874,845055183,213,0,0,0.05691057,0,31
786753874,851729431,20,0,0,0.01635514,0,0
786753874,872115443,58,0,0,0.0,0,0
786753874,879800164,74,0,0,0.010928961,0,4
786753874,889410092,13,0,0,0.005882353,0,3
786753874,1002580454,10,1,0,0.0,0,0
786753874,1003936860,67,2,0,0.013574661,1,6
786753874,1007975210,19,0,0,0.0,0,0
786753874,1010672309,132,0,0,0.03125,0,8
786753874,1011161277,30,0,0,0.01986755,0,0
786753874,1013561687,52,3,0,0.016,1,7
786753874,1013652369,0,0,0,0.010914052,0,0
786753874,1013818146,229,1,0,0.0,0,13
786753874,1013920763,129,0,0,0.056410257,0,50
786753874,1014516354,199,0,0,0.02586207,0,22
786753874,1014737648,1,0,0,0.0,1,7
786753874,1016706400,0,0,0,0.0,0,0
786753874,1017518588,1,0,0,0.0,0,5
786753874,1017708203,73,3,0,0.0,0,0
786753874,1018248894,40,0,0,0.0,0,7
786753874,1018851731,2,0,0,0.015267176,0,0
786753874,1019443507,195,0,0,0.0,0,22
786753874,1020969040,209,0,0,0.010569106,0,43
786753874,1021099085,107,0,0,0.036199097,0,15
786753874,1027954151,52,1,0,0.04,0,2
786753874,1029908662,12,0,0,0.008064516,1,0
786753874,1032281707,3,0,0,0.0,0,8
786753874,1036165703,156,0,0,0.013368984,0,9
786753874,1039832843,27,0,0,0.0,0,0
786753874,1040109633,47,4,0,0.0030487804,0,3
786753874,1040455511,183,0,0,0.03521127,0,35
786753874,1040782519,3,0,0,0.0,0,0
786753874,1041028177,30,0,0,0.0,0,1
