main profile,friend profile,fbfm.stats.features.FeatureMutualFriends,fbfm.stats.features.FeaturePhotoTags,fbfm.stats.features.FeatureCommonLikeRatio,fbfm.stats.features.FeatureCommonPlaces,fbfm.stats.features.FeatureCommonEducationWork,fbfm.stats.features.FeatureCommonGroups
786753874,6717453,17,1,0,0,0,0
786753874,7401149,29,1,0,0,0,0
786753874,204502666,116,0,0.04605263,0,0,15
786753874,505261339,44,0,0,0,0,0
786753874,506116521,17,0,0.015,0,0,0
786753874,513054703,37,0,0.01764706,0,0,1
786753874,520869089,2,0,0,0,0,9
786753874,522004674,227,0,0.01591512,0,0,12
786753874,522732841,112,0,0.04511278,0,0,22
786753874,525263521,31,17,0.02253521,0,0,1
786753874,533538937,10,0,0.005730659,0,0,3
786753874,535834666,37,0,0.013422819,0,0,1
786753874,537885020,6,0,0.005988024,0,1,3
786753874,538147799,42,0,0.005847953,0,0,1
786753874,543617377,1,0,0,0,0,1
786753874,546894930,45,0,0.004651163,1,0,0
786753874,548542319,1,0,0,0,0,0
786753874,552706980,29,4,0.016216217,0,0,0
786753874,554641382,2,0,0,0,0,0
786753874,555668315,100,0,0.048076924,0,0,17
786753874,558889385,171,0,0,0,0,13
786753874,560478394,4,0,0,0,0,1
786753874,563115070,70,1,0,0,0,1
786753874,563778655,70,0,0,0,0,0
786753874,566639631,27,0,0.021786492,0,0,3
786753874,568922730,3,0,0,0,0,3
786753874,569583680,175,0,0.0625,0,0,20
786753874,571165424,1,0,0.011185682,0,0,5
786753874,572807924,201,0,0.02909091,0,0,2
786753874,576846131,28,0,0.004854369,0,0,0
786753874,577548971,55,0,0.005154639,0,0,0
786753874,579846548,24,0,0,0,0,0
786753874,582394634,13,20,0.004716981,0,0,1
786753874,585184338,54,1,0.025641026,0,1,9
786753874,587240138,6,0,0,0,0,0
786753874,593892406,37,4,0,0,0,0
786753874,594339927,34,0,0.002352941,0,0,2
786753874,596039840,153,0,0.08203125,0,0,17
786753874,599078403,178,0,0.015789473,0,0,17
786753874,599339685,1,0,0,0,0,0
786753874,601209151,5,0,0,0,1,0
786753874,602184134,15,0,0,0,0,0
786753874,602915992,67,0,0,0,0,0
786753874,607270745,2,0,0.011111111,0,0,0
786753874,611174509,21,1,0.005319149,0,0,0
786753874,612003056,9,0,0.015789473,0,0,2
786753874,612083430,6,0,0,0,0,0
786753874,613311992,1,0,0.005464481,0,0,0
786753874,613899486,56,2,0.014705882,0,1,2
786753874,616232664,166,0,0.05676856,0,0,46
786753874,618896304,14,0,0.012345679,0,1,0
786753874,620620964,1,0,0.006734007,0,1,10
786753874,621445433,54,0,0.006944445,0,0,1
786753874,623124526,143,0,0.04411765,1,1,5
786753874,625103781,203,0,0.022635408,0,0,45
786753874,625393786,38,0,0.010256411,0,1,1
786753874,630773816,183,0,0.037037037,0,0,18
786753874,631094286,4,0,0,0,0,0
786753874,632052274,37,1,0,0,0,2
786753874,633233445,47,3,0.009345794,0,0,1
786753874,635769010,131,0,0.053892214,0,0,11
786753874,636283591,57,0,0.01863354,0,0,5
786753874,636608559,3,0,0.01048218,0,0,1
786753874,637132326,156,0,0.03968254,0,0,2
786753874,640276585,55,2,0,0,0,1
786753874,640518058,32,0,0,0,0,1
786753874,641372693,159,0,0,0,0,29
786753874,642159005,24,0,0.026666667,0,1,0
786753874,645924075,6,0,0,0,0,11
786753874,648442149,2,0,0,0,0,0
786753874,653339802,136,0,0.061611373,0,0,7
786753874,658083008,36,0,0,0,0,5
786753874,659368188,42,0,0.008264462,0,0,2
786753874,660753184,44,7,0.025787966,0,1,7
786753874,661721930,151,0,0,0,0,5
786753874,662799960,158,0,0.053333335,0,0,26
786753874,664905797,30,0,0.007874016,1,0,0
786753874,667859533,183,1,0.02849003,0,0,10
786753874,672486157,165,0,0.031847134,0,0,9
786753874,672627969,174,0,0.042372882,0,0,10
786753874,683344960,190,0,0,0,0,16
786753874,684472896,208,0,0,0,0,49
786753874,684653819,196,0,0.07692308,0,0,32
786753874,690562079,161,0,0.03937008,0,0,4
786753874,691525954,2,0,0.004347826,0,0,0
786753874,693104539,154,0,0.020604396,0,0,17
786753874,693223255,6,0,0,0,0,0
786753874,693683264,27,0,0.013043478,0,1,0
786753874,694161823,10,0,0.011049724,0,0,3
786753874,699493740,0,0,0.004016064,0,0,1
786753874,700004701,205,0,0.039130434,0,0,42
786753874,700038903,124,0,0.022950819,0,0,22
786753874,702617173,180,0,0,0,0,34
786753874,705805342,5,0,0,0,0,0
786753874,705932846,16,0,0.01459854,0,1,0
786753874,707352365,11,2,0.004926108,0,1,0
786753874,709726708,30,0,0.011173184,0,0,1
786753874,711332930,2,0,0.01778656,0,1,11
786753874,715758488,22,0,0,0,1,4
786753874,720842086,179,0,0.01369863,0,1,18
786753874,721872113,154,1,0.058441557,0,0,5
786753874,723874468,14,0,0,0,0,1
786753874,727873680,198,0,0,0,0,48
786753874,730012321,5,0,0,0,0,0
786753874,734450400,4,0,0.018072288,0,0,5
786753874,735364706,180,0,0.032432433,0,0,17
786753874,738102199,1,0,0,0,1,0
786753874,738759187,145,0,0.08,0,0,13
786753874,742289669,9,0,0,0,0,0
786753874,744844279,10,0,0,0,0,0
786753874,746863954,7,0,0.013636364,0,1,8
786753874,747650255,192,1,0.006756757,0,1,14
786753874,749953892,13,0,0.015544041,0,0,7
786753874,751251357,14,0,0,0,0,0
786753874,753213323,9,4,0.001567398,0,0,0
786753874,753997975,5,0,0.011278195,0,1,14
786753874,755046048,27,1,0,0,0,0
786753874,755183463,81,0,0,0,0,0
786753874,755982337,180,0,0,0,0,0
786753874,757059718,55,0,0.020833334,0,0,5
786753874,759132249,36,0,0.014084507,0,0,1
786753874,761355628,15,1,0.007832898,0,1,0
786753874,763276737,16,0,0,0,1,0
786753874,764677592,23,0,0.006134969,0,1,0
786753874,767979624,47,0,0.020725388,0,0,8
786753874,768867280,151,0,0.08450704,0,0,5
786753874,770363904,5,0,0.004454343,0,0,8
786753874,770530512,124,1,0.02962963,0,0,12
786753874,776569754,250,0,0,0,0,15
786753874,778039405,5,1,0,0,0,2
786753874,778639065,2,0,0,0,0,0
786753874,780684678,1,0,0.006622517,0,0,4
786753874,781890373,24,0,0.008264462,0,0,1
786753874,782663849,49,1,0.013888889,0,1,8
786753874,785228093,9,0,0.009259259,0,0,0
786753874,787164938,201,0,0.023961661,0,0,51
786753874,787601131,14,1,0.017699115,0,1,1
786753874,789771529,79,0,0.07486631,0,0,23
786753874,789984813,17,0,0.012048192,0,0,2
786753874,795204203,4,1,0,2,0,0
786753874,795662627,30,0,0.008196721,0,1,0
786753874,805959360,56,0,0,0,0,0
786753874,807717903,29,0,0.011764706,0,0,0
