main profile,friend profile,fbfm.stats.properties.PropertyUserTaggedFriendInPost,fbfm.stats.properties.PropertyUserLikesFriendPosts,fbfm.stats.properties.PropertyFriendTaggedUserInPost,fbfm.stats.properties.PropertyUserSharedFriendPost,fbfm.stats.properties.PropertyFriendTaggedMePhoto,fbfm.stats.properties.PropertyPrivateMessages,fbfm.stats.properties.PropertyUserCommentedFriendPosts,fbfm.stats.properties.PropertyFriendLikedMyPosts,fbfm.stats.properties.PropertyFriendCommentedMyPosts,fbfm.stats.properties.PropertyMeTaggedFriendPhoto
786753874,1144135729,0,0,0,0,0,0,0,5,1,0
786753874,1146720413,0,2,0,0,1,0,0,1,0,0
786753874,1147048518,0,2,0,0,0,0,0,8,0,0
786753874,1147626950,0,1,0,0,0,7,0,1,0,0
786753874,1148762539,0,0,0,0,0,0,0,0,0,0
786753874,1153828751,0,2,0,0,0,0,0,2,2,0
786753874,1156142975,0,0,0,0,0,0,0,0,0,0
786753874,1158267070,0,5,0,0,0,6,0,59,8,0
786753874,1158957454,0,0,0,0,0,0,0,1,0,0
786753874,1160133149,0,0,0,0,0,0,0,0,0,0
786753874,1162982368,0,0,0,0,1,0,0,0,0,0
786753874,1163145537,0,0,0,0,0,0,0,0,0,0
786753874,1168282493,0,0,0,0,0,0,0,0,0,0
786753874,1169138514,0,0,0,0,0,0,0,1,0,0
786753874,1176202168,0,0,0,0,0,0,0,0,0,0
786753874,1180836219,0,0,0,0,0,0,0,5,0,0
786753874,1181620729,0,0,0,0,0,0,0,0,0,0
786753874,1182792547,0,0,0,0,1,0,0,2,0,0
786753874,1184910068,0,0,0,0,0,0,0,3,0,0
786753874,1186560857,0,0,0,0,10,7112,0,114,38,0
786753874,1188745024,0,0,0,0,0,0,0,0,0,0
786753874,1189132206,0,0,0,0,0,0,0,0,0,0
786753874,1192060538,0,0,0,0,0,0,0,4,3,0
786753874,1192913126,0,0,0,0,0,0,0,2,0,0
786753874,1203834694,0,0,0,0,0,0,1,0,0,0
786753874,1204343248,0,0,0,0,0,0,0,0,0,0
786753874,1204824048,0,0,0,0,0,0,0,3,0,0
786753874,1212382824,0,0,0,0,0,0,2,1,0,0
786753874,1217130735,0,0,0,0,0,24,0,0,0,0
786753874,1227200533,2,1,0,0,0,0,0,12,3,0
786753874,1231268869,0,0,0,0,0,0,0,0,0,0
786753874,1231538695,0,1,0,0,0,0,0,3,1,0
786753874,1231857250,0,0,0,0,0,0,0,0,1,2
786753874,1233327586,0,0,0,0,0,0,0,2,0,0
786753874,1233631321,0,0,0,0,0,155,0,1,0,null
786753874,1234485592,null,null,null,null,null,null,null,null,null,null
786753874,1245150369,null,null,null,null,null,null,null,null,null,null
786753874,1245752774,null,null,null,null,null,null,null,null,null,null
786753874,1248967873,null,null,null,null,null,null,null,null,null,null
786753874,1259476553,null,null,null,null,null,null,null,null,null,null
