main profile,friend profile,fbfm.stats.properties.PropertyUserTaggedFriendInPost,fbfm.stats.properties.PropertyUserLikesFriendPosts,fbfm.stats.properties.PropertyFriendTaggedUserInPost,fbfm.stats.properties.PropertyUserSharedFriendPost,fbfm.stats.properties.PropertyMeTaggedFriendPhoto,fbfm.stats.properties.PropertyFriendTaggedMePhoto,fbfm.stats.properties.PropertyFriendCommentedMyPosts,fbfm.stats.properties.PropertyPrivateMessages,fbfm.stats.properties.PropertyUserCommentedFriendPosts,fbfm.stats.properties.PropertyFriendLikedMyPosts
786753874,1405493883,0,0,0,0,0,0,0,0,0,0
786753874,1407628672,0,0,0,0,0,0,0,0,0,0
786753874,1410423153,0,0,0,0,0,0,0,0,0,0
786753874,1416641264,1,0,0,0,0,0,0,0,0,0
786753874,1418293304,0,0,0,0,0,0,0,150,0,55
786753874,1423794442,0,1,0,0,0,0,0,0,0,0
786753874,1425341328,0,1,0,0,0,0,0,0,0,0
786753874,1437043280,0,0,0,0,0,0,0,0,0,8
786753874,1442951843,0,0,0,0,0,0,1,0,0,0
786753874,1443571550,0,0,0,0,0,0,0,0,0,0
786753874,1446858344,0,0,0,0,0,0,0,0,0,2
786753874,1448781191,1,5,0,0,23,1,0,0,1,2
786753874,1449396116,0,0,0,0,0,0,0,0,0,2
786753874,1451523063,0,3,0,0,0,0,6,0,4,1
786753874,1457485393,0,0,0,0,0,0,0,0,0,0
786753874,1457841439,0,0,0,0,0,1,1,0,0,3
786753874,1459144322,0,0,0,0,0,0,0,0,0,4
786753874,1467285958,2,17,6,0,3,6,41,344,1,19
786753874,1467734012,0,0,0,0,0,0,0,0,0,3
786753874,1471814849,0,0,0,0,0,0,3,0,0,0
786753874,1472431837,0,0,0,0,0,0,0,0,0,1
786753874,1473152123,0,0,0,0,0,0,0,0,0,0
786753874,1474877784,0,0,0,0,0,0,0,0,0,2
786753874,1474917443,0,0,0,0,4,0,4,268,0,8
786753874,1477302485,0,6,0,0,0,0,0,0,0,6
786753874,1484306386,0,0,0,0,0,0,0,0,0,0
786753874,1484654720,0,0,0,0,0,0,0,0,0,0
786753874,1489080113,0,2,0,0,0,0,1,0,0,0
786753874,1490615932,0,0,0,0,0,0,0,0,0,2
786753874,1502731168,0,0,0,0,0,0,0,0,0,0
786753874,1503242027,0,1,0,0,0,0,2,0,1,6
786753874,1503277584,0,0,0,0,0,0,0,0,0,0
786753874,1503528228,0,1,0,0,0,0,0,0,0,1
786753874,1504276313,0,4,0,0,0,0,1,102,1,3
786753874,1507488424,0,0,0,0,0,4,2,0,0,18
786753874,1507828399,0,0,0,0,0,0,0,0,0,0
786753874,1521769969,0,0,0,0,1,2,23,0,1,12
786753874,1522125437,0,1,0,0,0,0,0,0,0,0
786753874,1522253583,0,0,0,0,0,0,1,0,0,3
786753874,1528848626,0,4,0,0,0,0,1,614,0,5
