main profile,friend profile,fbfm.stats.features.FeatureMutualFriends,fbfm.stats.features.FeaturePhotoTags,fbfm.stats.features.FeatureCommonLikeRatio,fbfm.stats.features.FeatureCommonPlaces,fbfm.stats.features.FeatureCommonEducationWork,fbfm.stats.features.FeatureCommonGroups,class
786753874,_6717453,17,1,0,0,0,0,0.068249893
786753874,_7401149,29,1,0,0,0,0,0
786753874,_204502666,116,0,0.04605263,0,0,15,0.346593227
786753874,_505261339,44,0,0,0,0,0,0.129653402
786753874,_506116521,17,0,0.015,0,0,0,0.125051
786753874,_513054703,37,0,0.01764706,0,0,1,0.01754386
786753874,_520869089,2,0,0,0,0,9,0.099486521
786753874,_522004674,227,0,0.01591512,0,0,12,0
786753874,_522732841,112,0,0.04511278,0,0,22,0.125051
786753874,_525263521,31,17,0.02253521,0,0,1,4.916562487
786753874,_533538937,10,0,0.005730659,0,0,3,0
786753874,_535834666,37,0,0.013422819,0,0,1,0.00877193
786753874,_537885020,6,0,0.005988024,0,1,3,0.23255814
786753874,_538147799,42,0,0.005847953,0,0,1,0.408676731
786753874,_543617377,1,0,0,0,0,1,0
786753874,_546894930,45,0,0.004651163,1,0,0,0.078947368
786753874,_548542319,1,0,0,0,0,0,0
786753874,_552706980,29,4,0.016216217,0,0,0,0.165810869
786753874,_554641382,2,0,0,0,0,0,0
786753874,_555668315,100,0,0.048076924,0,0,17,0
786753874,_558889385,171,0,0,0,0,13,0
786753874,_560478394,4,0,0,0,0,1,0.066324347
786753874,_563115070,70,1,0,0,0,1,0.11627907
786753874,_563778655,70,0,0,0,0,0,0
786753874,_566639631,27,0,0.021786492,0,0,3,0.311363198
786753874,_568922730,3,0,0,0,0,3,0
786753874,_569583680,175,0,0.0625,0,0,20,0
786753874,_571165424,1,0,0.011185682,0,0,5,0.076598978
786753874,_572807924,201,0,0.02909091,0,0,2,0
786753874,_576846131,28,0,0.004854369,0,0,0,0
786753874,_577548971,55,0,0.005154639,0,0,0,0
786753874,_579846548,24,0,0,0,0,0,0.01754386
786753874,_582394634,13,20,0.004716981,0,0,1,1.18500325
786753874,_585184338,54,1,0.025641026,0,1,9,0
786753874,_587240138,6,0,0,0,0,0,0
786753874,_593892406,37,4,0,0,0,0,0
786753874,_594339927,34,0,0.002352941,0,0,2,0
786753874,_596039840,153,0,0.08203125,0,0,17,0.250101999
786753874,_599078403,178,0,0.015789473,0,0,17,0.00877193
786753874,_599339685,1,0,0,0,0,0,0.024390244
786753874,_601209151,5,0,0,0,1,0,0.11627907
786753874,_602184134,15,0,0,0,0,0,0.001406074
786753874,_602915992,67,0,0,0,0,0,0
786753874,_607270745,2,0,0.011111111,0,0,0,0.00877193
786753874,_611174509,21,1,0.005319149,0,0,0,0
786753874,_612003056,9,0,0.015789473,0,0,2,0.258873929
786753874,_612083430,6,0,0,0,0,0,0.002812148
786753874,_613311992,1,0,0.005464481,0,0,0,0.322098496
786753874,_613899486,56,2,0.014705882,0,1,2,0
786753874,_616232664,166,0,0.05676856,0,0,46,1.024798241
786753874,_618896304,14,0,0.012345679,0,1,0,0
786753874,_620620964,1,0,0.006734007,0,1,10,0.026315789
786753874,_621445433,54,0,0.006944445,0,0,1,0
786753874,_623124526,143,0,0.04411765,1,1,5,0
786753874,_625103781,203,0,0.022635408,0,0,45,0.085793753
786753874,_625393786,38,0,0.010256411,0,1,1,0
786753874,_630773816,183,0,0.037037037,0,0,18,0.125051
786753874,_631094286,4,0,0,0,0,0,0.033162174
786753874,_632052274,37,1,0,0,0,2,0
786753874,_633233445,47,3,0.009345794,0,0,1,0.075096277
786753874,_635769010,131,0,0.053892214,0,0,11,0.357609139
786753874,_636283591,57,0,0.01863354,0,0,5,0
786753874,_636608559,3,0,0.01048218,0,0,1,0
786753874,_637132326,156,0,0.03968254,0,0,2,0
786753874,_640276585,55,2,0,0,0,1,0.035087719
786753874,_640518058,32,0,0,0,0,1,0.11627907
786753874,_641372693,159,0,0,0,0,29,0
786753874,_642159005,24,0,0.026666667,0,1,0,0
786753874,_645924075,6,0,0,0,0,11,0
786753874,_648442149,2,0,0,0,0,0,0
786753874,_653339802,136,0,0.061611373,0,0,7,0.043859649
786753874,_658083008,36,0,0,0,0,5,0.035087719
786753874,_659368188,42,0,0.008264462,0,0,2,0
786753874,_660753184,44,7,0.025787966,0,1,7,0.26815005
786753874,_661721930,151,0,0,0,0,5,0
786753874,_662799960,158,0,0.053333335,0,0,26,0
786753874,_664905797,30,0,0.007874016,1,0,0,0
786753874,_667859533,183,1,0.02849003,0,0,10,1.145361276
786753874,_672486157,165,0,0.031847134,0,0,9,0.23255814
786753874,_672627969,174,0,0.042372882,0,0,10,0
786753874,_683344960,190,0,0,0,0,16,0.00877193
786753874,_684472896,208,0,0,0,0,49,0.026315789
786753874,_684653819,196,0,0.07692308,0,0,32,0.818555891
786753874,_690562079,161,0,0.03937008,0,0,4,0.01754386
786753874,_691525954,2,0,0.004347826,0,0,0,0
786753874,_693104539,154,0,0.020604396,0,0,17,0.050706033
786753874,_693223255,6,0,0,0,0,0,0.033162174
786753874,_693683264,27,0,0.013043478,0,1,0,0.106332905
786753874,_694161823,10,0,0.011049724,0,0,3,0.059477963
786753874,_699493740,0,0,0.004016064,0,0,1,0.03655793
786753874,_700004701,205,0,0.039130434,0,0,42,1.877035423
786753874,_700038903,124,0,0.022950819,0,0,22,0.267645859
786753874,_702617173,180,0,0,0,0,34,0.078947368
786753874,_705805342,5,0,0,0,0,0,0.00877193
786753874,_705932846,16,0,0.01459854,0,1,0,0.00877193
786753874,_707352365,11,2,0.004926108,0,1,0,0
786753874,_709726708,30,0,0.011173184,0,0,1,0.681661737
786753874,_711332930,2,0,0.01778656,0,1,11,0.911600707
