main profile,friend profile,fbfm.stats.features.FeatureMutualFriends,fbfm.stats.features.FeaturePhotoTags,fbfm.stats.features.FeatureCommonLikeRatio,fbfm.stats.features.FeatureCommonPlaces,fbfm.stats.features.FeatureCommonEducationWork,fbfm.stats.features.FeatureCommonGroups,class
786753874.0,_6717453,17.0,1.0,0.0,0.0,0.0,0.0,0.0682498930252
786753874.0,_7401149,29.0,1.0,0.0,0.0,0.0,0.0,0.0
786753874.0,_204502666,116.0,0.0,0.04605263,0.0,0.0,15.0,0.346593227254
786753874.0,_505261339,44.0,0.0,0.0,0.0,0.0,0.0,0.129653401797
786753874.0,_506116521,17.0,0.0,0.015,0.0,0.0,0.0,0.125050999592
786753874.0,_513054703,37.0,0.0,0.01764706,0.0,0.0,1.0,0.0175438596491
786753874.0,_520869089,2.0,0.0,0.0,0.0,0.0,9.0,0.099486521181
786753874.0,_522004674,227.0,0.0,0.01591512,0.0,0.0,12.0,0.0
786753874.0,_522732841,112.0,0.0,0.04511278,0.0,0.0,22.0,0.125050999592
786753874.0,_525263521,31.0,17.0,0.02253521,0.0,0.0,1.0,4.9165624872
786753874.0,_533538937,10.0,0.0,0.005730659,0.0,0.0,3.0,0.0
786753874.0,_535834666,37.0,0.0,0.013422819,0.0,0.0,1.0,0.00877192982456
786753874.0,_537885020,6.0,0.0,0.005988024,0.0,1.0,3.0,0.232558139535
786753874.0,_538147799,42.0,0.0,0.005847953,0.0,0.0,1.0,0.408676730586
786753874.0,_543617377,1.0,0.0,0.0,0.0,0.0,1.0,0.0
786753874.0,_546894930,45.0,0.0,0.004651163,1.0,0.0,0.0,0.0789473684211
786753874.0,_548542319,1.0,0.0,0.0,0.0,0.0,0.0,0.0
786753874.0,_552706980,29.0,4.0,0.016216217,0.0,0.0,0.0,0.165810868635
786753874.0,_554641382,2.0,0.0,0.0,0.0,0.0,0.0,0.0
786753874.0,_555668315,100.0,0.0,0.048076924,0.0,0.0,17.0,0.0
786753874.0,_558889385,171.0,0.0,0.0,0.0,0.0,13.0,0.0
786753874.0,_560478394,4.0,0.0,0.0,0.0,0.0,1.0,0.066324347454
786753874.0,_563115070,70.0,1.0,0.0,0.0,0.0,1.0,0.116279069767
786753874.0,_563778655,70.0,0.0,0.0,0.0,0.0,0.0,0.0
786753874.0,_566639631,27.0,0.0,0.021786492,0.0,0.0,3.0,0.3113631977
786753874.0,_568922730,3.0,0.0,0.0,0.0,0.0,3.0,0.0
786753874.0,_569583680,175.0,0.0,0.0625,0.0,0.0,20.0,0.0
786753874.0,_571165424,1.0,0.0,0.011185682,0.0,0.0,5.0,0.0765989777594
786753874.0,_572807924,201.0,0.0,0.02909091,0.0,0.0,2.0,0.0
786753874.0,_576846131,28.0,0.0,0.004854369,0.0,0.0,0.0,0.0
786753874.0,_577548971,55.0,0.0,0.005154639,0.0,0.0,0.0,0.0
786753874.0,_579846548,24.0,0.0,0.0,0.0,0.0,0.0,0.0175438596491
786753874.0,_582394634,13.0,20.0,0.004716981,0.0,0.0,1.0,1.18500324962
786753874.0,_585184338,54.0,1.0,0.025641026,0.0,1.0,9.0,0.0
786753874.0,_587240138,6.0,0.0,0.0,0.0,0.0,0.0,0.0
786753874.0,_593892406,37.0,4.0,0.0,0.0,0.0,0.0,0.0
786753874.0,_594339927,34.0,0.0,0.002352941,0.0,0.0,2.0,0.0
786753874.0,_596039840,153.0,0.0,0.08203125,0.0,0.0,17.0,0.250101999184
786753874.0,_599078403,178.0,0.0,0.015789473,0.0,0.0,17.0,0.00877192982456
786753874.0,_599339685,1.0,0.0,0.0,0.0,0.0,0.0,0.0243902439024
786753874.0,_601209151,5.0,0.0,0.0,0.0,1.0,0.0,0.116279069767
786753874.0,_602184134,15.0,0.0,0.0,0.0,0.0,0.0,0.00140607424072
786753874.0,_602915992,67.0,0.0,0.0,0.0,0.0,0.0,0.0
786753874.0,_607270745,2.0,0.0,0.011111111,0.0,0.0,0.0,0.00877192982456
786753874.0,_611174509,21.0,1.0,0.005319149,0.0,0.0,0.0,0.0
786753874.0,_612003056,9.0,0.0,0.015789473,0.0,0.0,2.0,0.258873929009
786753874.0,_612083430,6.0,0.0,0.0,0.0,0.0,0.0,0.00281214848144
786753874.0,_613311992,1.0,0.0,0.005464481,0.0,0.0,0.0,0.322098496383
786753874.0,_613899486,56.0,2.0,0.014705882,0.0,1.0,2.0,0.0
786753874.0,_616232664,166.0,0.0,0.05676856,0.0,0.0,46.0,1.02479824064
786753874.0,_618896304,14.0,0.0,0.012345679,0.0,1.0,0.0,0.0
786753874.0,_620620964,1.0,0.0,0.006734007,0.0,1.0,10.0,0.0263157894737
786753874.0,_621445433,54.0,0.0,0.006944445,0.0,0.0,1.0,0.0
786753874.0,_623124526,143.0,0.0,0.04411765,1.0,1.0,5.0,0.0
786753874.0,_625103781,203.0,0.0,0.022635408,0.0,0.0,45.0,0.0857937526744
786753874.0,_625393786,38.0,0.0,0.010256411,0.0,1.0,1.0,0.0
786753874.0,_630773816,183.0,0.0,0.037037037,0.0,0.0,18.0,0.125050999592
786753874.0,_631094286,4.0,0.0,0.0,0.0,0.0,0.0,0.033162173727
786753874.0,_632052274,37.0,1.0,0.0,0.0,0.0,2.0,0.0
786753874.0,_633233445,47.0,3.0,0.009345794,0.0,0.0,1.0,0.0750962772786
786753874.0,_635769010,131.0,0.0,0.053892214,0.0,0.0,11.0,0.357609139127
786753874.0,_636283591,57.0,0.0,0.01863354,0.0,0.0,5.0,0.0
786753874.0,_636608559,3.0,0.0,0.01048218,0.0,0.0,1.0,0.0
786753874.0,_637132326,156.0,0.0,0.03968254,0.0,0.0,2.0,0.0
786753874.0,_640276585,55.0,2.0,0.0,0.0,0.0,1.0,0.0350877192982
786753874.0,_640518058,32.0,0.0,0.0,0.0,0.0,1.0,0.116279069767
786753874.0,_641372693,159.0,0.0,0.0,0.0,0.0,29.0,0.0
786753874.0,_642159005,24.0,0.0,0.026666667,0.0,1.0,0.0,0.0
786753874.0,_645924075,6.0,0.0,0.0,0.0,0.0,11.0,0.0
786753874.0,_648442149,2.0,0.0,0.0,0.0,0.0,0.0,0.0
786753874.0,_653339802,136.0,0.0,0.061611373,0.0,0.0,7.0,0.0438596491228
786753874.0,_658083008,36.0,0.0,0.0,0.0,0.0,5.0,0.0350877192982
786753874.0,_659368188,42.0,0.0,0.008264462,0.0,0.0,2.0,0.0
786753874.0,_660753184,44.0,7.0,0.025787966,0.0,1.0,7.0,0.268150049922
786753874.0,_661721930,151.0,0.0,0.0,0.0,0.0,5.0,0.0
786753874.0,_662799960,158.0,0.0,0.053333335,0.0,0.0,26.0,0.0
786753874.0,_664905797,30.0,0.0,0.007874016,1.0,0.0,0.0,0.0
786753874.0,_667859533,183.0,1.0,0.02849003,0.0,0.0,10.0,1.14536127613
786753874.0,_672486157,165.0,0.0,0.031847134,0.0,0.0,9.0,0.232558139535
786753874.0,_672627969,174.0,0.0,0.042372882,0.0,0.0,10.0,0.0
786753874.0,_683344960,190.0,0.0,0.0,0.0,0.0,16.0,0.00877192982456
786753874.0,_684472896,208.0,0.0,0.0,0.0,0.0,49.0,0.0263157894737
786753874.0,_684653819,196.0,0.0,0.07692308,0.0,0.0,32.0,0.818555890577
786753874.0,_690562079,161.0,0.0,0.03937008,0.0,0.0,4.0,0.0175438596491
786753874.0,_691525954,2.0,0.0,0.004347826,0.0,0.0,0.0,0.0
786753874.0,_693104539,154.0,0.0,0.020604396,0.0,0.0,17.0,0.0507060333761
786753874.0,_693223255,6.0,0.0,0.0,0.0,0.0,0.0,0.033162173727
786753874.0,_693683264,27.0,0.0,0.013043478,0.0,1.0,0.0,0.106332905434
786753874.0,_694161823,10.0,0.0,0.011049724,0.0,0.0,3.0,0.0594779632007
786753874.0,_699493740,0.0,0.0,0.004016064,0.0,0.0,1.0,0.0365579302587
786753874.0,_700004701,205.0,0.0,0.039130434,0.0,0.0,42.0,1.87703542274
786753874.0,_700038903,124.0,0.0,0.022950819,0.0,0.0,22.0,0.267645858833
786753874.0,_702617173,180.0,0.0,0.0,0.0,0.0,34.0,0.0789473684211
786753874.0,_705805342,5.0,0.0,0.0,0.0,0.0,0.0,0.00877192982456
786753874.0,_705932846,16.0,0.0,0.01459854,0.0,1.0,0.0,0.00877192982456
786753874.0,_707352365,11.0,2.0,0.004926108,0.0,1.0,0.0,0.0
786753874.0,_709726708,30.0,0.0,0.011173184,0.0,0.0,1.0,0.681661736526
786753874.0,_711332930,2.0,0.0,0.01778656,0.0,1.0,11.0,0.911600707194
786753874.0,_715758488,22.0,0.0,0.0,0.0,1.0,4.0,0.0
786753874.0,_720842086,179.0,0.0,0.01369863,0.0,1.0,18.0,0.348837209302
786753874.0,_721872113,154.0,1.0,0.058441557,0.0,0.0,5.0,0.741534067727
