main profile,friend profile_,fbfm.stats.features.FeatureCommonGroups,fbfm.stats.features.FeatureCommonLikeRatio,fbfm.stats.features.FeatureMutualFriends,fbfm.stats.features.FeaturePhotoTags,fbfm.stats.features.FeatureCommonPlaces,fbfm.stats.features.FeatureCommonEducationWork,class
100001531730648_,1310833_,5.0,0.0,9.0,0.0,0.0,0.0,0.0
100001531730648_,10227608_,0.0,0.0,6.0,0.0,0.0,0.0,0.0
100001531730648_,500854804_,1.0,0.0,34.0,0.0,0.0,0.0,0.0
100001531730648_,523247926_,6.0,0.0,7.0,0.0,0.0,0.0,0.0
100001531730648_,528706460_,0.0,0.014150944,36.0,0.0,0.0,0.0,0.0
100001531730648_,532004792_,1.0,0.0,48.0,0.0,0.0,0.0,0.0
100001531730648_,533590123_,0.0,0.014285714,0.0,0.0,0.0,0.0,0.0
100001531730648_,538647453_,5.0,0.020408163,11.0,0.0,0.0,1.0,0.00574973520956
100001531730648_,541898469_,1.0,0.0,55.0,0.0,0.0,0.0,0.0
100001531730648_,544113393_,4.0,0.016806724,9.0,0.0,0.0,1.0,0.0
100001531730648_,544438339_,2.0,0.022727273,11.0,0.0,0.0,1.0,0.1875
100001531730648_,546142945_,0.0,0.02877698,31.0,0.0,0.0,0.0,0.0625
100001531730648_,552032156_,0.0,0.0036630037,28.0,0.0,0.0,0.0,0.0
100001531730648_,580110239_,9.0,0.016759777,21.0,0.0,0.0,1.0,0.0
100001531730648_,580361740_,1.0,0.006535948,26.0,0.0,0.0,0.0,0.0
100001531730648_,589704308_,0.0,0.0,14.0,0.0,0.0,0.0,0.00302617642609
100001531730648_,591263294_,18.0,0.0,23.0,0.0,0.0,1.0,0.0
100001531730648_,600024158_,9.0,0.03448276,17.0,0.0,0.0,1.0,0.274604705704
100001531730648_,601633941_,2.0,0.0,50.0,0.0,0.0,0.0,0.0
100001531730648_,602884464_,0.0,0.028089888,27.0,0.0,0.0,1.0,0.2
100001531730648_,614937398_,0.0,0.008196721,4.0,0.0,0.0,0.0,0.276308821304
100001531730648_,615700435_,1.0,0.0,24.0,0.0,0.0,0.0,1.6
100001531730648_,616349872_,4.0,0.024752475,6.0,0.0,0.0,1.0,0.0
100001531730648_,617264180_,9.0,0.01863354,22.0,0.0,0.0,1.0,0.0744439400817
